,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
RPL13AP20,196,555,198,346,471,110,299,592,164
DAZL,0,27,4,0,17,0,0,0,0
DAZ3,0,0,0,0,0,0,0,0,0
LOC100289511,224,137,101,75,221,352,146,338,79
DAZ1,0,0,0,0,0,0,0,0,0
DAZ4,0,0,0,0,0,0,0,0,0
LINC00441,0,0,0,0,0,0,0,0,0
LINC00443,0,0,0,0,0,0,0,0,0
ZBTB32,19,97,19,53,63,30,10,76,112
GTF2F1,542,3252,943,1319,2648,1389,2371,1674,1696
GTF2F2,316,693,462,401,1129,601,539,812,502
OSER1-AS1,0,0,0,0,0,0,0,0,0
PPIP5K1,12575,22784,19329,14963,37585,25116,23450,47314,18437
LOC284412,0,0,0,0,6,13,0,0,7
C1orf137,0,0,0,0,0,0,0,0,0
MIR3189,0,0,0,0,0,0,1,0,0
MIR3188,0,0,0,0,0,0,0,0,0
MIR3187,0,0,0,0,0,0,0,0,0
TMEM132D,0,0,0,0,0,0,0,0,0
MIR3185,0,0,0,0,0,0,0,0,0
MIR3184,0,0,0,0,0,0,0,0,0
TMEM132A,1294,2010,698,524,703,1976,1082,852,990
MIR3182,0,0,0,0,0,0,0,0,0
PEG10,152,41,18,59,36,41,57,16000,302
TMEM132B,0,229,50,22,42,130,38,0,57
NAIF1,27,123,81,57,101,138,207,80,57
CCL28,63,89,69,41,91,122,30,240,106
H3F3C,24,13,23,11,24,42,29,22,7
H3F3B,3634,6321,4446,2194,7612,6428,5807,4830,3370
H3F3A,2098,3248,567,2669,6034,475,4396,4142,3364
CCL21,101,10,15,51,0,0,170,0,34
CCL20,323,805,46,33,1420,454,116,158,359
CCL23,0,0,40,0,57,0,21,0,0
CCL22,0,145,108,33,65,169,360,124,72
CCL25,0,0,0,0,0,0,0,0,0
SPATA19,0,4,0,0,0,0,0,0,0
CCL27,0,7,0,0,16,0,13,2,0
CCL26,0,14,0,3,56,29,29,0,0
ALPK1,844,2515,1348,3709,4110,3626,2330,5512,3871
ALPK3,79,307,168,1043,116,431,229,50,27
ALPK2,263,961,381,485,68,406,121,396,92
CUX1,2287,6247,3759,4258,5514,8111,6413,5650,6315
CUX2,2,3,6,0,13,6,25,0,9
CSNK1A1,4733,43053,9271,7888,25733,25750,15201,20668,6252
GLYATL2,0,0,0,0,0,0,0,0,0
GLYATL3,0,0,0,0,0,0,0,0,0
GLYATL1,0,0,0,0,0,0,0,0,0
RAP1B,1557,4177,3004,4491,6269,3282,4079,5634,3171
RAP1A,642,1877,1581,2500,2182,2402,1306,3456,1627
FAM230B,0,70,5,0,0,0,0,0,0
FAM230C,0,0,0,0,0,0,0,0,0
SNORA64,2482,399,296,886,614,1585,669,352,405
SNORA65,191,157,207,80,201,142,39,190,76
SNORA66,81,77,44,34,106,57,36,158,45
SNORA67,10324,3312,1278,1040,3168,3012,1054,3970,491
SNORA60,190,119,221,42,183,153,56,178,53
SNORA61,480,418,486,248,573,205,170,766,122
SNORA62,1361,180,707,587,342,985,371,830,389
SNORA63,42742,11198,38214,28122,44203,57959,24381,41142,18443
OR51V1,0,0,0,0,0,0,0,0,0
CTF1,5,32,74,14,73,156,93,0,114
LDLR,13698,24387,6160,10454,85752,22422,28150,2548,14021
LOC643711,0,0,0,0,0,0,0,0,0
UBFD1,242,1191,570,674,833,663,589,1008,370
FIZ1,205,127,79,141,157,164,220,92,308
LOC441025,0,0,0,0,0,0,0,0,0
MYF5,0,0,0,0,0,0,0,0,0
MYF6,0,0,0,0,0,0,0,0,0
PRKCDBP,126,57,30,127,9,23,83,0,19
OR52L1,0,0,0,0,0,0,0,0,0
GFI1B,0,0,0,0,22,0,0,0,0
DLG1-AS1,0,4,0,0,0,0,0,0,0
MIR548AX,0,0,0,0,0,0,0,0,0
MIR548AY,0,0,0,0,1,0,0,0,0
MIR548AV,0,0,0,0,0,0,0,0,0
MIR548AU,0,0,0,0,0,0,0,0,0
MIR548AR,0,0,0,0,0,0,0,0,0
MIR548AS,0,0,0,0,0,0,0,0,0
MIR548AP,0,0,0,0,0,0,0,0,0
MIR548AQ,0,0,0,0,0,0,0,0,0
GPR126,3781,1864,1275,2590,3130,3585,2689,3178,1920
MIR548AO,0,0,0,0,0,0,0,0,0
MIR548AL,0,0,0,0,0,0,0,0,0
GPR125,3995,3390,2883,3361,2096,856,1542,5940,1363
GPR123,0,0,0,0,0,0,0,0,42
MIR548AI,0,0,0,0,0,0,0,0,0
MIR548AD,2,2,2,5,2,5,4,16,7
SKP1P2,5,2,0,0,0,0,0,12,0
AASDH,958,2041,1442,1977,2443,1786,1246,4026,2598
MIR548AC,0,0,0,0,0,0,0,0,0
GPR128,0,0,0,0,20,71,0,0,0
RNF216P1,628,779,192,301,390,193,273,550,163
MIR548A2,0,0,0,0,0,0,0,0,0
MIR548A3,0,0,0,0,0,0,0,0,0
MIR548A1,0,3,0,0,0,0,0,0,0
MTERFD3,99,501,496,698,198,184,236,1122,669
MTERFD2,581,916,317,825,1346,979,925,1842,984
MTERFD1,548,1932,442,574,926,443,582,1282,399
TFG,2284,3473,2354,2246,5874,5665,3611,3736,2494
HVCN1,45,109,246,130,194,188,106,276,216
RND1,0,55,18,520,123,307,34,42,53
RND2,21,4,0,0,0,0,0,0,0
RND3,1736,3592,3386,1708,13922,6145,3905,3438,2517
CTNNBIP1,262,549,276,104,202,583,554,202,265
KIAA1549,439,624,374,751,38,109,250,44,77
LRRC41,2723,2644,1519,2217,3130,2673,2452,4668,3034
LRRC40,401,1377,766,766,2336,1077,790,2260,731
LRRC43,0,0,0,0,17,21,175,0,0
LRRC42,1802,1418,853,911,2755,1486,1584,3124,1226
LRRC45,766,513,705,1010,960,865,1059,1556,1185
LRRC47,1372,1823,766,1233,1330,1432,1062,3104,1000
LRRC46,11,22,25,47,59,26,57,108,39
LRRC49,129,96,423,203,327,550,358,264,180
LRRC48,0,141,181,215,76,236,141,0,29
FNDC8,0,31,0,29,15,35,43,362,41
FNDC9,17,22,6,44,14,15,6,44,44
FNDC4,84,98,171,178,0,22,132,0,0
FNDC5,0,26,57,58,26,29,9,82,49
FNDC7,0,0,0,0,0,0,0,0,0
FNDC1,76,891,789,1173,21,65,823,124,57
PWWP2B,743,368,104,684,291,62,635,470,228
PWWP2A,458,2332,1296,2352,3401,2555,2145,4984,1233
CCDC152,0,12,16,10,47,11,31,74,0
CCDC153,0,47,48,23,85,105,92,106,34
CCDC150,587,963,647,655,1154,605,867,1820,3158
CCDC151,0,0,0,155,0,0,14,0,0
CCDC157,164,19,11,68,76,93,31,60,60
CCDC154,8,30,0,0,14,62,50,20,0
CCDC155,0,53,0,0,158,71,0,0,183
CCDC158,0,0,54,0,94,0,0,0,69
CCDC159,131,280,132,248,327,301,559,174,252
H1FNT,2,3,0,0,0,2,23,108,139
LRRC4C,0,9,18,14,6,0,19,0,6
LRRC4B,0,50,65,59,19,33,73,10,76
UBE2E4P,52,85,40,52,56,71,45,92,102
TASP1,546,1512,1053,973,1408,1063,1121,1878,1122
PCED1A,1849,4120,1667,2484,1661,2662,2432,3806,2742
PCED1B,72,85,47,95,3,84,76,88,105
LOC400644,0,0,0,0,0,0,0,0,0
SPZ1,0,0,0,0,0,6,0,0,0
LOC100507472,1,2,1,1,2,1,3,4,1
LOC644050,0,0,0,0,0,0,0,0,0
CNTROB,2499,3311,1198,1684,2526,2207,2472,3994,1234
PALMD,171,833,420,536,1283,1851,727,942,751
LOC101927132,0,0,0,0,0,0,0,0,0
LOC101927131,0,0,0,0,0,0,0,0,0
LOC101927136,0,0,0,0,0,0,0,0,0
LOC101927134,0,0,0,0,0,0,0,0,0
PALM2,45,150,151,245,55,123,91,0,85
MANSC4,30,26,30,11,18,0,0,58,0
OR5T3,0,0,0,0,0,0,0,0,0
OR5T2,0,0,0,0,0,0,0,0,0
MANSC1,43,64,411,1315,825,598,297,0,242
MAGEA2B,0,0,0,0,0,0,0,0,0
ICMT,1416,1179,1021,1384,758,1127,1797,2308,1072
MIR1912,0,0,0,0,0,0,0,0,0
MIR1913,0,0,0,0,0,0,0,0,0
MIR1910,0,0,0,0,0,0,0,0,0
MIR1911,0,0,0,0,0,0,0,0,0
FDCSP,0,4550,0,0,0,118,0,0,0
MIR1914,0,0,1,0,0,1,0,0,0
MIR1915,0,0,0,0,0,0,0,0,0
FCF1,704,2251,1713,1195,1916,1535,1314,3036,1210
LINC00690,0,0,0,0,0,0,0,0,0
LINC00691,0,0,0,0,0,0,0,0,0
LINC00692,0,0,0,0,0,0,0,0,0
LINC00693,0,0,0,0,0,0,0,0,0
ATP6V0A1,2003,4588,3422,4690,4547,4400,5164,5752,3832
LINC00696,30,204,0,2,46,44,33,54,11
GPR98,19,46,111,0,5,2136,619,4694,426
LINC00698,0,0,0,0,0,0,0,0,0
MIR617,0,0,2,0,0,0,0,0,0
MIR615,5,2,0,2,0,0,2,0,0
MIR614,23,11,9,20,22,18,9,0,7
MIR613,0,2,14,5,9,9,3,6,2
MIR612,306,762,1907,908,2918,4006,1048,2122,1841
MIR611,1,5,4,3,5,1,5,14,1
MIR610,0,1,0,0,1,0,1,6,1
RPL36A-HNRNPH2,1805,4722,781,1812,1817,1850,0,3722,912
ITGBL1,0,142,792,424,0,30,630,0,0
ATP5A1,8655,22065,6003,10061,14285,7576,10083,25088,6153
SASH3,64,338,239,235,495,172,125,788,223
LINC00346,0,18,21,30,52,88,37,38,14
LINC00347,0,0,0,0,0,0,0,0,0
LINC00342,0,0,4,0,14,7,27,42,7
LINC00343,0,0,0,0,0,0,0,0,0
LINC00341,22,29,44,54,22,6,3,22,11
LINC00348,0,0,0,0,0,0,0,0,0
PODXL2,1337,1130,1230,381,2270,1930,430,2500,3753
LOC728175,0,0,0,0,0,0,0,0,0
NPAT,1485,8951,9137,6093,14638,7606,6901,21382,5095
USP30-AS1,0,8,0,0,0,10,0,0,6
LLGL2,1704,2863,2699,7012,1799,2176,6841,3636,2303
LLGL1,1903,1466,903,1177,1474,2467,1922,1832,1456
ACOX2,0,50,153,188,44,18,180,88,44
ACOX3,686,1327,782,1166,2126,1772,1402,2784,1237
ACOX1,2243,7255,8103,11485,9594,14618,7912,8294,5201
RABGAP1,3015,7776,5228,5290,7174,7124,7717,10384,9760
LOC283440,0,6,0,11,0,30,0,0,6
GAL3ST1,0,11,0,333,0,0,9,0,0
GAL3ST3,0,0,0,0,0,0,0,0,0
GAL3ST2,0,3,38,0,292,17,6,0,339
GAL3ST4,188,162,170,34,315,458,138,500,174
LOC102723362,0,0,0,0,0,0,0,0,0
C3orf33,0,70,23,13,55,37,18,38,41
C3orf30,0,0,27,0,9,0,3,34,0
C3orf36,3,6,9,14,17,11,14,6,11
C3orf35,0,45,30,43,14,29,11,88,13
NANP,36,205,84,79,175,97,64,230,48
NANS,924,2288,1078,3546,1727,681,1439,3056,1279
C3orf38,249,1215,702,869,1093,950,743,2550,663
IL17REL,0,6,0,0,0,0,12,0,32
MATN1,0,0,0,0,0,0,0,0,0
MATN3,122,159,187,186,19,14,50,0,0
MATN2,1010,377,1047,1221,885,2836,2855,1324,242
MATN4,0,0,0,0,7,0,14,0,0
PCGEM1,0,0,0,0,0,0,0,0,0
ENDOG,277,185,84,0,65,95,153,238,143
TCEB3-AS1,0,0,0,0,0,0,0,0,0
EBF4,284,484,476,252,336,396,528,0,461
EBF3,0,175,69,21,634,0,62,328,49
EBF2,0,11,9,0,0,0,0,0,0
EBF1,67,646,344,257,175,154,803,254,73
LMNA,29988,35203,13551,24133,67192,34788,44759,23990,23014
BDH2,168,590,955,965,1715,1069,1107,1810,781
ENDOV,94,54,75,152,159,69,240,140,137
ENDOU,0,0,39,128,32,1491,364,38,98
BDH1,168,292,547,397,976,634,455,272,298
SPG11,9077,25610,18798,28254,39510,21590,26133,52032,18451
GULP1,173,211,377,1244,31,48,265,56,31
IGDCC4,31,261,77,239,2,48,111,0,11
ALCAM,4671,1401,3099,739,2384,2648,5964,17184,4625
CENPVP2,0,0,0,0,0,0,0,0,0
CENPVP1,0,0,0,0,0,0,0,0,0
FLVCR2,805,799,828,640,844,1156,2155,2508,713
FLVCR1,2122,1633,1070,1190,2586,1377,1634,3492,1820
A3GALT2,87,87,65,0,78,85,5,342,87
GGPS1,387,434,420,448,554,318,623,1056,483
NACA2,0,29,0,0,0,27,0,0,0
C9orf169,11,124,57,146,57,1179,609,44,209
C9orf163,3,0,0,5,0,0,5,18,0
MARCKS,846,1187,984,1104,984,3215,1290,1068,2418
GALNT5,36,139,3493,665,3319,1518,1933,5616,4317
CGRRF1,352,96,260,373,265,250,370,570,127
TMEM109,3488,3664,2335,1510,2970,3290,4228,4414,3057
TMEM108,0,11,0,0,44,9,0,66,16
NACAD,52,99,141,116,27,106,216,62,21
TMEM102,197,309,68,75,231,258,175,248,94
TMEM101,179,207,106,152,94,173,247,142,21
TMEM100,0,0,0,0,0,0,44,0,0
TMEM107,165,278,166,323,200,237,231,814,1241
TMEM105,0,10,0,0,0,0,4,0,0
TMEM104,488,629,518,498,842,619,640,624,642
LOC650293,3,5,13,14,38,17,0,80,13
NPPB,0,0,0,0,0,0,0,0,0
CCDC140,0,0,0,0,0,0,0,0,0
PDCL2,0,0,0,0,5,0,0,0,0
PDCL3,880,1717,775,606,1486,773,605,1692,933
CORO6,222,54,125,0,71,87,160,0,186
LRRC37BP1,349,982,445,757,986,665,1234,1204,675
CCM2,2588,5107,2233,2298,2863,2409,2802,5814,3152
HLTF,1133,4588,4492,2705,6482,4896,1658,7398,4138
FAM182A,0,5,35,0,129,80,0,336,139
KRT3,0,48,20,0,23,378,370,0,53
KRT2,0,113,21,0,0,33,61,0,0
KRT1,0,21369,243,10,526,2959,26586,230,38
KRT7,136,100,96,20436,298,70,680,0,8501
KRT5,426783,1370299,274355,68488,1232766,1451237,772023,896730,454198
KRT4,29,724,27466,7286,1311,38757,74903,154556,2369
KRT9,30,89,15,0,9,426,100,92,14
KRT8,10615,525,3263,34858,9367,9131,2630,39196,14949
DACT1,53,340,536,310,11,11,185,0,48
DACT3,30,96,137,130,0,19,204,0,34
DACT2,8,0,7,0,0,233,0,0,0
TMCC1,561,1780,1364,1276,1592,2114,1406,1272,1894
TMCC2,84,113,98,53,55,128,133,144,53
TMCC3,212,854,589,157,1579,208,480,1084,283
C8orf69,0,0,0,0,0,0,0,0,0
GLYCAM1,0,0,0,0,0,0,0,0,0
CDHR2,0,207,16,2793,61,36,94,18,67
SRD5A1P1,0,3,0,0,0,0,0,0,0
RECK,19,334,519,1252,138,103,567,144,68
INSC,0,0,0,0,0,0,20,0,0
LOC100130691,0,0,0,0,0,0,0,0,0
SNORD116-24,0,19,27,74,30,39,71,90,74
SNORD116-25,0,0,7,0,2,2,0,0,6
SNORD116-26,0,0,22,21,4,32,8,0,201
SNORD116-27,0,4,3,1,12,4,0,0,41
RUNX1T1,42,643,741,1272,72,20,978,160,105
SNORD116-21,88,46,0,663,154,85,144,216,990
SNORD116-22,0,22,55,0,32,31,8,40,214
SNORD116-23,0,10,17,39,8,8,0,0,132
ZNF813,639,424,800,3017,1012,1178,2199,1700,1200
ZNF812,3,45,61,32,784,1957,1870,1962,1576
SPTBN5,878,4650,1053,928,3062,1156,1008,1620,3473
SPTBN4,0,5,7,0,28,0,218,12,0
SNORD116-28,4,4,9,6,6,4,5,20,14
ZNF816,536,304,720,3961,2740,1231,2199,6252,3513
SPTBN1,20363,20027,16223,26956,22924,12675,30080,31594,36461
MRPL33,680,869,736,1491,1019,605,1028,1446,1493
LOC100131347,0,0,19,0,10,14,0,0,18
ARPC4-TTLL3,29,27,176,187,25,163,43,446,26
TFAP2A,2978,3235,2994,3276,8851,5293,6361,8466,4716
TFAP2C,571,798,665,526,1710,1776,1978,1722,1221
TFAP2B,0,0,0,0,9,189,0,0,0
TFAP2E,31,567,86,89,188,216,226,226,175
TFAP2D,0,0,0,0,0,0,0,0,0
LOC100130964,0,0,0,0,0,0,0,0,0
MRPL39,595,988,529,419,1139,491,731,1240,723
SAMHD1,5412,12975,12860,11695,29609,7411,9401,55034,9991
FAM149A,204,454,75,442,99,153,69,0,14
RPA4,89,89,42,23,9,120,48,0,6
RPA1,3912,5119,2832,4269,7536,7762,7616,12132,3394
RPA3,763,642,620,493,940,1053,538,574,551
RPA2,453,2854,1204,735,2573,2543,917,5662,1955
C7orf73,1383,1194,597,1104,541,1843,767,518,1048
REC8,739,1051,186,958,1521,780,654,1116,880
C7orf71,0,47,29,75,27,71,26,86,0
DMRTC1,0,0,0,0,0,0,26,0,0
FAM132A,4,0,9,0,7,42,0,20,0
FAM132B,53,25,0,0,27,0,66,34,53
PCDHGB3,103,1010,173,145,25,38,433,66,56
PCDHGB2,51,827,176,109,40,38,458,60,39
PCDHGB1,66,482,85,73,14,14,217,28,29
CHMP2A,763,2343,1093,905,2237,1119,1309,2010,1351
PCDHGB7,355,1248,308,524,104,710,969,80,103
PCDHGB6,431,692,249,201,30,38,718,80,70
PCDHGB5,1159,1182,212,498,43,45,470,274,137
PCDHGB4,87,880,122,291,44,50,640,134,113
RREB1,2499,6101,1733,3059,6855,5567,6902,7406,4392
TP53AIP1,0,17,0,29,54,464,101,0,0
PHC1,2835,2833,3747,6904,2744,2893,3207,3734,2474
PHC3,4661,13843,12954,11380,18701,13145,8766,18856,15690
PHC2,1155,1736,979,1426,1298,1340,1046,2000,959
PIANP,0,11,15,7,0,0,0,12,0
STK4-AS1,0,0,0,0,0,0,0,0,0
ZNF362,424,856,975,1383,1420,2132,1144,1992,1664
ZNF365,52,933,445,459,68,764,484,82,828
ZNF367,270,409,415,463,1284,802,306,806,640
ZNF366,0,138,18,23,33,38,61,38,22
PRF1,248,388,32,213,392,447,196,2036,545
H2AFV,1844,1671,1047,2033,1543,1646,1342,4062,1466
H2AFX,1401,1992,388,391,3196,2562,2252,2498,860
H2AFY,4554,12570,6176,4722,10767,11491,8171,9588,4216
H2AFZ,2255,1977,1506,1200,2854,2057,988,4626,800
MIR450A1,0,5,0,0,0,0,0,8,0
MIR450A2,0,0,0,0,0,0,0,0,0
TMEM189-UBE2V1,741,1369,411,710,1018,286,656,1252,1477
H2AFJ,37,273,50,281,54,634,401,136,479
MIR5687,0,0,0,2,0,0,0,0,0
MIR5684,0,0,0,0,0,0,0,0,0
NCAPG2,3855,10469,3699,3872,12268,5952,3999,15406,3088
MIR5680,0,0,0,0,0,0,0,0,0
MIR5688,0,0,0,0,0,0,0,0,0
MIR5689,0,0,0,0,0,0,0,0,0
AGBL1-AS1,0,0,0,0,0,0,0,0,0
ADRBK1,6496,5449,3087,4517,6898,7118,7429,8410,7869
ADRBK2,985,869,616,1022,660,1151,361,1064,293
DPEP3,0,0,31,0,0,0,0,0,0
NMD3,1676,4126,3678,2682,5487,3603,4000,6190,3029
GLIPR1,714,581,624,779,586,176,506,994,874
TEX43,0,0,0,0,0,0,0,0,0
TEX40,14,23,0,0,0,0,40,0,0
TEX41,0,0,0,0,0,0,0,0,0
LSAMP-AS1,0,0,0,0,0,0,0,0,0
LOC100270679,0,0,0,0,0,0,0,0,0
PRKRIR,618,807,658,587,1358,257,399,1652,483
BAIAP3,0,300,141,131,49,261,482,114,116
BAIAP2,2017,1379,819,1784,5212,1870,3076,1950,2029
FOXP2,6,459,740,293,7225,3397,690,124,4044
WBSCR27,229,44,149,131,127,65,102,388,111
VAX2,0,31,4,0,14,0,0,0,40
WBSCR22,2357,2178,999,1289,1951,1300,1389,1862,1387
WBSCR28,0,0,14,0,0,22,0,0,0
SPHAR,0,1,1,1,4,1,1,2,1
MYRIP,0,54,50,178,17,72,76,0,13
POLDIP3,1211,2922,1503,1978,3490,1875,2293,4390,1443
POLDIP2,4301,6829,3076,3365,4882,4001,4278,6074,2975
GP1BA,165,717,361,799,530,761,373,3384,516
GP1BB,0,78,37,0,26,0,2,0,0
MIR3682,0,0,0,0,0,0,0,0,0
MIR3684,0,0,0,0,0,0,0,0,0
MIR3685,0,0,0,0,0,0,0,0,0
MIR3687,14,12,2,2,4,9,13,4,5
ALDH18A1,4684,7906,4538,9958,4696,2846,3830,7898,1902
NUP85,6176,3951,4573,5046,6133,5116,5437,10376,4501
C1orf74,2197,7437,391,101,581,329,629,620,362
YTHDF2,3026,2986,2281,3848,6510,5123,4043,6818,5565
LOC102724321,0,0,0,0,0,0,0,0,0
GLB1,1907,4487,2706,4461,3051,3798,2373,4352,1818
VHLL,0,3,0,0,0,0,0,0,0
HS3ST3A1,670,254,56,97,100,339,456,522,228
RAB4B-EGLN2,1987,1126,1413,706,2804,1690,1585,4098,3268
PYCARD,235,445,211,602,168,365,413,480,167
TTC40,0,10,0,156,0,0,54,0,0
MIR302D,6,3,5,4,9,13,0,24,7
MIR302F,0,0,0,0,0,0,0,0,0
MIR302A,0,6,6,0,4,0,0,4,2
PARD6G-AS1,0,0,0,0,0,0,0,0,0
MIR302C,2,8,7,6,5,0,0,12,4
CSNK1A1P1,0,7,0,0,0,6,0,0,0
BTNL10,0,0,0,0,0,0,22,0,0
MIR4283-2,0,0,0,0,0,0,0,0,0
MIR4283-1,0,0,0,0,0,0,0,0,0
LOC728637,0,0,0,0,0,0,0,0,0
DUSP28,0,14,25,72,64,33,37,96,75
CTB-12O2.1,0,0,0,0,0,0,0,0,0
DUSP21,0,0,0,0,0,0,0,0,0
DUSP22,396,550,440,812,791,986,1696,1042,705
DUSP23,1436,412,600,576,733,642,592,952,658
DUSP26,0,0,0,0,3,0,0,0,0
DUSP27,0,0,0,0,0,0,0,0,0
FENDRR,0,0,0,0,0,0,0,0,0
YAF2,131,853,422,500,952,507,396,1264,867
MIR890,0,0,0,0,0,0,0,0,0
LOC100507217,6,0,0,0,0,0,7,0,0
HSD17B7P2,629,645,392,830,1146,958,648,288,651
ODAM,0,65,0,0,0,0,0,0,0
LOC401324,0,0,0,0,0,0,0,0,0
EDIL3,38,250,518,613,102,175,496,22,30
LOC401320,0,12,0,0,0,0,9,0,0
ZGPAT,308,427,137,594,541,800,1252,372,981
EIF5A2,228,206,88,53,229,89,81,18,114
UBE2D4,210,589,268,368,411,377,487,356,321
UBE2D2,1419,5559,2423,2237,4460,3600,2548,4590,1498
UBE2D3,2797,5656,4213,5239,11449,5051,3340,9174,2563
UBE2D1,486,1067,1005,732,1259,729,1459,1538,582
SNORD65,33,41,49,79,140,25,86,62,45
SNORD64,27,32,63,78,1,37,38,80,296
SNORD67,16,4,3,4,1,5,18,20,9
SNORD66,40,28,19,9,49,26,22,46,14
SNORD61,8,8,10,0,18,6,2,10,2
SNORD60,36,38,14,102,45,46,36,88,11
SNORD63,18,18,21,54,74,41,25,100,9
EDNRA,871,791,1203,1026,479,308,1526,382,80
EDNRB,0,128,72,516,110,44,255,112,36
SNORD69,16,20,41,66,26,27,37,142,21
SNORD68,95,28,27,51,113,79,57,20,57
SAP130,968,3149,2266,1626,4230,2417,3446,5368,2095
APOF,0,0,0,0,0,6,0,0,0
APOD,0,72,348,1600,282,102,3115,0,294
APOE,1631,4209,5117,2165,8543,776,4870,5816,5007
APOB,0,13,276,33,126,0,221,0,318
APOO,386,3104,365,655,858,924,772,2142,499
APOM,18,183,116,298,339,269,197,324,143
APOH,0,0,0,0,0,0,0,0,0
FAM104A,441,1647,1534,260,1895,1286,846,2002,1220
FAM104B,162,752,375,345,367,605,228,1160,292
CCDC50,1947,1255,4606,5969,6952,6182,4676,1664,3672
CCDC51,400,472,25,539,23,287,85,742,243
CCDC53,187,778,660,586,1179,606,348,966,489
CCDC54,0,0,0,9,6,14,0,0,3
CCDC57,880,617,716,1430,1286,904,1077,1560,970
CCDC58,379,1538,754,820,2410,1028,769,2652,791
CCDC59,615,1715,885,588,2523,985,1078,2074,936
NUFIP2,6956,12557,12196,13048,25544,10489,11750,26842,17127
NUFIP1,473,750,330,588,934,629,297,404,174
PREPL,1479,3653,4192,5572,5284,4117,4686,7114,5741
CABP7,0,0,9,0,0,0,0,0,0
CABP5,0,0,0,0,0,0,0,0,0
CABP4,0,21,30,50,4,21,16,0,41
CABP2,0,0,0,0,0,0,0,0,0
CABP1,0,0,0,0,0,0,20,38,0
FBXO34,115,1104,104,2395,2749,3897,3078,7372,3819
FBXO36,0,0,20,0,21,0,16,0,33
FBXO30,1343,1745,1185,1606,1324,1730,739,2456,935
FBXO31,504,563,468,534,1029,654,556,918,738
FBXO32,23,590,1201,647,876,3225,1308,1318,944
FBXO33,218,617,395,407,902,318,268,910,465
FBXO38,1515,4924,2151,2320,3389,3337,3400,5314,2080
FBXO39,33,247,135,201,623,64,469,884,108
ANP32AP1,333,42,81,142,182,71,102,0,116
MBOAT2,817,2690,2594,1037,1495,1716,5808,2780,2511
MBOAT1,515,379,1363,1847,2462,626,2724,4296,1022
MBOAT7,587,492,438,488,516,451,592,304,849
MBOAT4,0,42,12,33,18,26,22,50,5
SCOC-AS1,0,5,0,0,0,0,0,0,0
SLC25A53,0,50,23,52,50,0,19,252,73
SLC25A52,28,103,83,73,22,38,22,146,15
SLC25A51,318,704,614,688,426,425,322,902,175
SDPR,116,46,176,255,382,92,465,432,186
WBP11P1,0,0,9,0,1,0,0,0,0
UNC79,0,0,0,0,11,0,37,0,0
ALAS1,1129,2376,1057,3725,1887,1744,1932,4224,1251
ALAS2,89,27,13,34,110,48,5,180,72
FICD,34,137,150,116,152,131,113,190,192
KIAA0513,295,376,759,1474,1713,1357,1489,3886,3257
CDCA7L,2715,611,1076,1280,1082,991,348,1274,921
LOC101927811,0,0,0,0,0,0,0,0,0
APBA1,6,148,37,14,42,200,125,22,34
LOC101927814,0,0,0,0,0,0,0,0,0
APBA3,236,613,255,363,663,352,491,796,346
APBA2,181,1412,441,1226,745,85,554,556,136
LINC00266-3,0,10,0,0,11,0,3,0,0
LINC00266-1,85,361,241,356,612,879,493,892,1048
MORC2,2349,4904,3403,2573,7223,3084,4937,6784,4725
MORC3,2375,8772,5452,4091,11554,7362,7811,14878,9508
MORC1,0,0,0,0,0,0,0,0,0
MORC4,962,5343,2140,960,3545,4534,1529,8188,2826
PTPRZ1,253,5724,800,102,17603,1303,9679,10346,2234
GPATCH2L,1186,2221,1756,1498,2439,1333,1754,3688,1944
SSUH2,0,0,0,0,0,0,0,0,0
RAI1,13333,14502,10843,13988,19855,20510,22344,24638,14121
RAI2,5,87,88,118,41,115,84,76,33
HP09025,0,0,0,0,0,0,0,0,0
COL28A1,91,73,57,117,22,48,694,800,27
FAM197Y2,0,0,0,0,0,0,0,0,0
CBWD6,3510,8244,4106,3960,10969,7085,2307,11788,3859
CBWD5,9601,15825,12037,14636,19606,15074,13009,25546,15049
C1orf110,0,3,151,0,618,0,869,5302,14
CBWD3,4707,8838,5500,4851,12996,7445,4173,16360,7078
SNORA45A,626,238,259,358,449,305,219,1076,144
CBWD1,7527,13253,7616,7430,19751,10391,7873,22498,6186
FAM197Y5,0,0,0,0,0,0,0,0,0
LGALS3BP,6235,3827,2538,5546,6608,5312,8099,5794,5544
TTBK2,3086,4112,4051,3737,6269,3351,4906,12622,2926
TTBK1,0,9,0,0,0,0,0,44,0
ZNFX1,2971,7654,4493,5807,18647,6150,9950,11378,8340
MAGEF1,50,387,357,382,617,488,390,620,380
ACBD3,1050,5655,2177,2604,4946,1992,3496,3874,2100
ACBD7,0,0,0,50,115,33,0,0,0
ACBD6,1616,3897,2006,1482,3495,1727,2955,6152,2510
ACBD5,1568,3580,2736,4104,6106,2087,3944,19514,6419
ACBD4,299,338,388,602,393,324,408,388,218
RBMS3-AS1,0,0,0,0,0,0,0,0,0
LOC100996455,0,0,0,0,0,3,0,0,0
HYLS1,280,1321,888,47,1111,749,1078,2600,487
TIGIT,0,76,76,99,203,43,15,182,113
LOC101927364,0,0,0,0,0,0,0,0,0
LINC00632,0,8,0,0,0,10,0,0,0
