,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
PDK4,0,78,84,27,26,42,195,0,27
LNPEP,1773,5664,4798,4099,7789,5168,5876,7822,3812
ALPI,0,0,0,0,0,0,0,0,0
SEC61A1,7039,8437,6540,11395,12111,13789,8778,7178,9602
SEC61A2,928,673,613,1342,1034,622,958,1930,1783
ALPL,49,175,91,107,224,0,396,352,23
PECR,736,227,417,926,586,346,598,166,637
MIR193A,4,0,0,0,0,2,4,0,0
MIR193B,0,1,1,5,0,6,1,0,2
HAS2-AS1,0,0,0,0,0,0,0,0,0
LOC400620,0,0,0,0,0,0,0,0,0
LINC01091,0,0,0,0,0,0,0,0,0
LINC01093,0,0,0,0,0,0,0,0,0
LINC01095,0,0,0,0,0,0,0,0,0
LINC01094,0,0,0,0,0,0,0,0,0
LINC01097,0,0,0,0,0,0,0,0,0
LINC01096,0,3,0,0,3,0,0,0,0
LINC01099,0,0,0,0,0,0,0,0,0
LINC01098,0,0,0,0,0,0,0,0,0
CTAGE11P,0,54,80,12,14,1,68,96,4
D21S2088E,0,0,0,0,0,0,0,0,0
LOC101927117,97,240,120,115,354,164,159,146,155
DDIT4,5600,2417,640,649,1571,3340,1369,462,1224
LOC101927112,0,0,0,0,0,0,0,0,0
DOCK9-AS1,0,0,0,0,0,0,0,0,0
DOCK9-AS2,0,0,0,0,0,0,0,0,0
GOLGA8T,306,1339,602,1398,368,1072,917,852,535
OR5R1,0,3,3,0,0,0,0,0,0
GOLGA8S,0,89,13,200,189,34,289,380,93
GOLGA8R,1090,4020,2536,4604,2329,3966,3557,4770,3098
GOLGA8M,11,732,679,967,256,609,1960,332,726
GOLGA8O,1636,4672,3145,3623,2631,4089,3518,4846,3611
GOLGA8N,2061,5469,3213,5256,2913,5638,4681,5836,3583
GOLGA8I,39,616,346,677,141,306,1334,348,419
GOLGA8H,440,1923,1331,2197,436,1303,795,2144,761
GOLGA8K,282,1690,510,1432,384,823,943,756,686
GOLGA8J,77,1007,465,606,242,312,565,746,329
GOLGA8G,0,10,0,0,2,24,0,0,0
GOLGA8F,0,0,0,0,589,0,0,0,0
GOLGA8A,25023,33158,18799,24928,16537,16974,32891,42198,18948
GOLGA8B,20378,25923,13854,21462,13407,13532,24855,25272,13168
